,Word,Definition
0,abbatia ,"['abbey,', 'monastery']"
1,abduco ,"['to', 'lead,', 'or', 'take', 'away', '/', 'detach,', 'withdraw']"
2,abeo ,"['to', 'go', 'away,', 'retire', '/', 'depart', 'from', 'life,', 'die']"
3,abeo ,"['to', 'digress', '/', 'change', '/', 'vanish,', 'disappear']"
4,abscido ,"['to', 'cut', 'off,', 'to', 'separate,', 'take', 'away']"
5,absconditus ,"['hidden,', 'concealed']"
6,"absens, absentis ","['(adj)', 'absent,', 'missing,', 'away,', 'gone']"
7,absorbeo ,"['to', 'swallow,', 'gulp', 'down,', 'carry', 'away,', 'engross']"
8,absque ,"['(+', 'abl)', 'without']"
9,abstergo ,"['to', 'wipe', 'off,', 'clean', 'away']"
10,absum ,"['to', 'be', 'absent,', 'be', 'away,', 'be', 'missing']"
11,abundans ,"['abundant,', 'overflowing,', 'abounding', 'in']"
12,abundantia ,"['abundance,', 'bounty,', 'plenty']"
13,abutor ,"['to', 'make', 'full', 'use', 'of,', 'to', 'abuse']"
14,abutor ,"['to', 'use', 'abusive', 'language', '/', 'use', 'a', 'word', 'incorrectly']"
15,ac (atque) ,['and']
16,accedo ,"['to', 'approach,', 'come', 'near', '/', '(things)', 'to', 'be', 'added']"
17,accendo ,"['to', 'kindle,', 'illuminate,', 'inflame']"
18,acceptus ,"['welcome,', 'pleasant,', 'agreeable']"
19,accipio ,"['to', 'consider', 'oneself', 'indebted,', 'receive,', 'learn,', 'take']"
20,accommodo ,"['to', 'adjust,', 'adapt,', 'accommodate', 'oneself']"
21,accusator ,"['accusor,', 'plaintiff']"
22,accuso ,"['to', 'accuse,', 'blame,', 'find', 'fault', 'with']"
23,acer ,"['sharp,', 'keen,', 'eager,', 'severe,', 'fierce']"
24,acerbitas ,"['harshness,', 'bitterness']"
25,acerbus ,"['bitter,', 'gloomy,', 'dark']"
26,acervus ,"['a', 'heap,', 'mass']"
27,acidus ,"['sharp,', 'sour']"
28,acies ,"['keenness,', 'edge,', 'sharpness,', 'battle-line,', 'battlefield']"
29,acquiro ,"['to', 'acquire,', 'gain,', 'get,', 'obtain']"
30,acsi ,"['as', 'if,', '(Herimann', 'p', '283,', '293)']"
31,adamo ,"['to', 'fall', 'in', 'love', 'with,', 'find', 'pleasure', 'in']"
32,adaugeo ,"['to', 'make', 'greater,', 'add,', 'increase']"
33,addo ,"['to', 'give,', 'bring,', 'place,', '/', 'inspire,', 'cause,', '/', 'add,', 'join']"
34,adduco ,"['to', 'lead,', 'induce,', 'persuade']"
35,ademptio: ,"['a', 'taking', 'away']"
36,adeo ,"['to', 'such', 'a', 'point,', 'such', 'an', 'extent,', 'so', 'far,', 'so', 'long']"
37,adeo ,"['to', 'approach,', 'visit,', 'come', 'to,', 'undertake']"
38,adeptio ,"['attainment,', 'obtaining']"
39,adepto ,"['to', 'obtain,', 'get,', 'acquire']"
40,adfectus affectus (fr. adficio) ,"['influenced,', 'worked', 'upon']"
41,adfero affero ,"['to', 'cause,', 'bring', 'about,', 'contribute']"
42,adfero affero ,"['to', 'bring', 'news,', 'report', '/', 'apply,', 'bring', 'to', 'bear']"
43,adficio ,"['to', 'affect,', 'afflict,', 'weaken,', 'sap,', 'exhaust,', 'drain']"
44,adflicto affligo ,"['to', 'injure,', 'weaken,', 'discourage,', 'damage,', 'break']"
45,adhaero ,"['to', 'hang', 'to,', 'stick', 'to,', 'adhere']"
46,adhuc ,"['till', 'then,', 'till', 'now,', 'still,', 'even', 'now,', 'besides,', 'also,', 'yet']"
47,adicio ,"['to', 'direct,', 'address,', 'apply', '/', 'to', 'throw', 'to']"
48,adimpleo ,"['to', 'fulfill,', 'perform']"
49,adinventitias ,"['(?)', 'Herimann,', 'cap', '2']"
50,adipiscor ,"['to', 'come', 'up', 'to,', 'overtake,', 'obtain']"
51,adiuvo ,"['to', 'help,', 'aid,', 'assist']"
52,administratio ,"['giving', 'of', 'help,', 'administration,', 'government']"
53,admiratio ,"['wonder,', 'astonishment,', 'surprise,', 'admiration']"
54,admiror ,"['to', 'wonder', 'at,', 'admire,', 'marvel', 'at']"
55,admitto ,"['to', 'admit,', 'receive']"
56,admoneo ,"['admonish,', 'advise']"
57,admonitio ,"['warning,', 'reminder', '(insult', '-', 'Herimann,', 'p', '282)']"
58,admoveo ,"['to', 'move', 'to,', 'bring', 'up,', 'apply']"
59,adnuo ,"['to', 'nod', 'assent']"
60,adopto ,"['to', 'wish', 'for', 'oneself,', 'adopt,', 'select,', 'pick', 'out']"
61,adsidue assidue ,"['continuously,', 'without', 'remission']"
62,adstringo ,"['(persons)', 'bind,', 'oblige,', '(+', 'refl)', 'commit', 'oneself', 'to']"
63,adstringo ,"['to', 'tight,', 'compress,', 'compact', '/']"
64,adstringo ,"['to', 'draw', 'together,', 'tighten,', 'bind']"
65,adsuesco assuesco ,"['to', 'grow', 'accustomed', 'to,', 'used', 'to,', 'make', 'familiar']"
66,adsum ,"['to', 'assist,', 'be', 'present,', 'be', 'near,', 'be', 'in', 'attendance,']"
67,adsumo (assumo) ,"['to', 'take', 'to', 'oneself,', 'claim,', 'appropriate,', 'call']"
68,adulatio ,"['fawning,', 'flattery,', 'sycophancy,', 'buttering', 'up']"
69,adulescens ,"['young', 'man,', 'youth,', 'lad']"
70,adulescentia ,['youth']
71,adultus ,"['(adj)', 'grown', 'up,', 'mature,', 'adult,', 'of', 'age']"
72,aduro (adustum) ,"['to', 'set', 'fire', 'to,', 'burn,', 'singe,', 'kindle,', 'light']"
73,advenio ,"['to', 'come,', 'arrive,', 'reach']"
74,adversus ,"['(prep', '+', 'acc)', 'toward,', 'against,', 'facing']"
75,adversus ,"['(adj)', 'facing,', 'opposite,', 'opposing']"
76,adverto ,"['to', 'turn', 'towards,', 'direct', ""one's"", 'attention', 'to,', 'attract']"
77,advoco ,"['to', 'summon,', 'call', '/', 'call', 'in', 'an', 'advisor']"
78,aedificium  edificium ,"['building,', 'structure']"
79,aeger eger ,"['sick,', 'ill']"
80,aegre  egre ,"['(adv)', 'hardly,', 'scarcely,', 'with', 'difficulty,', 'laboriously']"
81,aegresco egresco ,"['to', 'fall', 'ill,', 'become', 'troubled,', 'grow', 'worse']"
82,aegresco ,"['to', 'become', 'ill,', 'grow', 'worse,', 'be', 'ill']"
83,aegretudo egretudo ,"['sickness,', 'mental', 'illness']"
84,aegrotatio egrotatio ,"['sickness,', 'illness']"
85,aegrus ,"['ill,', 'diseased,', 'unwell']"
86,aeneus  eneus ,"['made', 'of', 'copper', 'or', 'bronze,', 'brazen']"
87,aequitas equitas ,"['justice,', 'fairness,', 'equity']"
88,"aequus, equus ","['level,', 'even,', 'calm,', 'equal,', 'favorable,', 'just']"
89,"aer, aeris ","['air,', 'atmosphere,', 'ether,', 'weather']"
90,aestas  estas ,['summer']
91,aestivus  estivus ,"['pertaining', 'to', 'summer']"
92,aestus  estus ,"['heat,', 'tide']"
93,aetas ,"['an', 'age,', 'stage,', 'period', 'of', 'life,', 'time,', 'era']"
94,aeternus eternus ,"['eternal,', 'everlasting,', 'without', 'end']"
95,"Affligeniensis, Haffligeniensis ",['Afflighem']
96,ager (agri) ,"['farm,', 'field,', 'acre']"
97,aggero ,"['to', 'make', 'a', 'mound,', 'heap', 'up,', 'increase']"
98,aggredior ,"['to', 'go', 'to,', 'approach,', 'address,', 'attack']"
99,agnitio ,"['recognition,', 'knowledge']"
100,agnosco ,"['to', 'know', 'again,', 'recognize,', 'report,', 'understand,', 'admit']"
101,agnosco ,['acknowledge']
102,agnosco ,"['to', 'recognize,', 'understand,', 'perceive']"
103,ago (egi actum ) ,"['to', 'spend', 'time,', 'live', '/', 'manage,', 'drive,', 'lead']"
104,ait ,"['he', 'says']"
105,aiunt: ,"['they', 'say']"
106,Aldenard ,['Audenarde']
107,alienus ,"['somebody', ""else's,"", 'foreign,', 'alien,', 'strange,', 'different']"
108,alii ... alii ,"['some', 'others']"
109,alioqui ,"['(adv)', 'otherwise']"
110,alioquin ,"['(adv)', 'otherwise,', 'in', 'some', 'respects', '/', 'in', 'general']"
111,aliqua ,['some']
112,aliquando ,"['at', 'any', 'time,', 'sometimes,', 'occasionally,', 'at', 'last']"
113,aliquanta ,"['(adj)', 'moderate,', 'or', 'some', 'size']"
114,aliquanto ,"['somewhat,', 'considerably']"
115,aliquantum ,"['(noun)', 'a', 'good', 'deal']"
116,aliquantus ,"['(adj)', 'of', 'some', 'size,', 'moderate']"
117,aliqui ,['some']
118,aliquid ,"['someone,', 'somebody,', 'something']"
119,aliquis ,"['someone,', 'anyone,', 'anything,', '(adv)', 'in', 'any', 'respect']"
120,aliquo ,"['(adv)', 'in', 'some', 'direction']"
121,aliquot ,"['some,', 'several']"
122,aliquotiens ,"['some', 'times']"
123,alius  alia  aliud ,"['other,', 'another,', 'someone', 'else,', 'something', 'else']"
124,allatus (=adfero) ,"['having', 'been', 'brought']"
125,alo (alui  altum) ,"['nourish,', 'cherish,', 'support,', 'sustain,', 'maintain,', 'keep']"
126,Alos ,"['lquod:', 'some']"
127,alter ,"['(adv)', 'otherwise']"
128,alter  altera  alterum ,"['the', 'second,', 'the', 'other', 'one']"
129,alter ... alter ,"['the', 'one', 'the', 'other']"
130,altus ,"['high,', 'deep']"
131,alveus ,"['hollow,', 'basket,', 'bed', '(of', 'a', 'river)']"
132,amaritudo ,['bitterness']
133,Ambianis ,['Amiens']
134,ambitus ,"['border,', 'edge,', 'extent', '/', 'going', 'around,', 'circuit']"
135,ambulo ,"['to', 'walk']"
136,amicitia ,['friendship']
137,amiculum ,"['cloak,', 'cape']"
138,amicus ,"['friend,', 'comrade']"
139,amissio / amissus ,['loss']
140,amita ,"[""father's"", 'sister,', 'paternal', 'aunt']"
141,amitto ,"['to', 'dismiss,', 'send', 'away,', 'lose,', 'let', 'slip', 'away']"
142,amitto ,"['to', 'send', 'away,', 'let', 'go,', 'let', 'slip,', 'lose']"
143,amo ,"['to', 'love,', 'like,', 'be', 'fond', 'of,', 'cherish']"
144,amor ,"['love,', 'affection,', 'infatuation,', 'passion']"
145,amoveo ,"['to', 'move', 'away,', 'remove,', 'take', 'out,', 'shift']"
146,amplexus ,"['mplio', ':', 'to', 'enlarge,', 'increase,', 'improve']"
147,amplitudo ,"['size,', 'breadth,', 'dignity,', 'grandeur,', 'greatness']"
148,amplus ,"['large,', 'spacious,', 'ample', '/', 'great', 'important,', 'honorable']"
149,an ,"['(adv)', 'or', '""Are', 'you', 'going', 'OR', 'are', 'you', 'staying?""']"
150,ancilla ,"['maidservant,', 'also', 'used', 'by', 'nuns', 'to', 'describe', 'themselves']"
151,Andegavense ,['Anjou']
152,angelus ,['angel']
153,angulus ,"['corner,', 'niche']"
154,angustus ,"['narrow,', 'limited,', 'strait,', 'tight,', 'constricted']"
155,animadverto ,"['to', 'turn', 'the', 'mind', 'to,', 'take', 'notice', 'of,', 'see,', 'perceive']"
156,animi ,"['at', 'heart']"
157,animus ,"['courage,', 'vivacity,', 'bravery,', 'will,', 'spirit,', 'soul']"
158,animus ,"['character,', 'intellect,', 'memory,', 'consciousness,', 'often', 'mind']"
159,annus ,['year']
160,anser ,['goose']
161,ante ,"['(prep', '+', 'acc)', 'before', '/', 'in', 'front', 'of', '/', '(adv)', 'before,', 'previously']"
162,antea ,"['(adv)', 'before,', 'previously,', 'formerly']"
163,antepono ,"['(+', 'dat)', 'put', 'before,', 'prefer,', 'favor,', 'promote']"
164,antiquus ,"['ancient,', 'old,', 'hoary,']"
165,aperio ,"['to', 'uncover,', 'lay', 'bare,', 'reveal,', 'make', 'clear']"
166,aperte ,"['openly,', 'frankly']"
167,apostolus ,"['(legal)', 'notice', 'sent', 'to', 'a', 'higher', 'tribunal', '/', 'ecc', 'Apostle']"
168,apparatus ,"['equipment,', 'gear,', 'machinery', '/', 'splendor,', 'magnificence']"
169,appareo ,"['to', 'become', 'visible,', 'appear,', 'manifest']"
170,appello ,"['to', 'call,', 'name,', 'summon']"
171,appono ,"['to', 'appoint', 'a', 'person,', 'to', 'add', 'something']"
172,appono ,"['to', 'place', 'near,', 'put', 'to,', 'serve,', 'put', 'on', 'the', 'table']"
173,appositus ,"['placed', 'near,', 'approaching,', 'appropriate,', 'appositively']"
174,approbo ,"['to', 'approve']"
175,appropinquo ,"['(+', 'dat)', 'to', 'near,', 'drawn', 'near,', 'come', 'close,', 'approach']"
176,apto ,"['to', 'fit,', 'adapt,', 'adjust,', 'make', 'ready,', 'or', 'fit']"
177,aptus ,"['fitted,', 'connected,', 'fastened', '/', 'prepared,', 'fitted', 'out']"
178,aptus ,"['suitable,', 'appropriate,', 'fitting']"
179,apud ,"['(prep', '+', 'acc)', 'among,', 'in', 'the', 'presence', 'of,', 'at,', 'at', 'the', 'house', 'of']"
180,aqua ,['water']
181,ara ,['altar']
182,aranea ,"[""spider's"", 'web']"
183,arbitro arbitror ,"['to', 'witness,', 'bear', 'witness', '/', 'judge,', 'arbitrate']"
184,arbor ,['tree']
185,arbustum ,"['a', 'vineyard', 'planted', 'with', 'trees']"
186,arbustus ,"['planted', 'with', 'trees']"
187,arca archa ,"['chest,', 'box,', 'money', 'box,', 'coffin,', 'cell']"
