,Word,Definition,Verb
0,abbatia,"['abbey', 'monastery\n']",False
1,abduco,"['to lead', 'or take away / detach', 'withdraw \n']",True
2,abeo,"['to go away', 'retire / depart from life', 'die\n']",True
3,abeo,"['to digress / change / vanish', 'disappear\n']",True
4,abscido,"['to cut off', 'to separate', 'take away\n']",True
5,absconditus,"['hidden', 'concealed\n']",False
6,"absens, absentis","['(adj) absent', 'missing', 'away', 'gone\n']",False
7,absorbeo,"['to swallow', 'gulp down', 'carry away', 'engross\n']",True
8,absque,['(+ abl) without\n'],False
9,abstergo,"['to wipe off', 'clean away\n']",True
10,absum,"['to be absent', 'be away', 'be missing\n']",True
11,abundans,"['abundant', 'overflowing', 'abounding in\n']",False
12,abundantia,"['abundance', 'bounty', 'plenty\n']",False
13,abutor,"['to make full use of', 'to abuse\n']",True
14,abutor,['to use abusive language / use a word incorrectly\n'],True
15,ac(atque),['and\n'],False
16,accedo,"['to approach', 'come near / (things) to be added \n']",True
17,accendo,"['to kindle', 'illuminate', 'inflame\n']",True
18,acceptus,"['welcome', 'pleasant', 'agreeable\n']",False
19,accipio,"['to consider oneself indebted', 'receive', 'learn', 'take\n']",True
20,accommodo,"['to adjust', 'adapt', 'accommodate oneself\n']",True
21,accusator,"['accusor', 'plaintiff\n']",False
22,accuso,"['to accuse', 'blame', 'find fault with \n']",True
23,acer,"['sharp', 'keen', 'eager', 'severe', 'fierce \n']",False
24,acerbitas,"['harshness', 'bitterness\n']",False
25,acerbus,"['bitter', 'gloomy', 'dark\n']",False
26,acervus,"['a heap', 'mass\n']",False
27,acidus,"['sharp', 'sour\n']",False
28,acies,"['keenness', 'edge', 'sharpness', 'battle-line', 'battlefield\n']",False
29,acquiro,"['to acquire', 'gain', 'get', 'obtain\n']",True
30,acsi,"['as if', ' (Herimann p 283', '293)\n']",False
31,adamo,"['to fall in love with', 'find pleasure in \n']",True
32,adaugeo,"['to make greater', 'add', 'increase\n']",True
33,addo,"['to give', 'bring', 'place', '/ inspire', 'cause', '/ add', 'join\n']",True
34,adduco,"['to lead', 'induce', 'persuade\n']",True
35,ademptio: ,['a taking away\n'],False
36,adeo,"['to such a point', 'such an extent', 'so far', 'so long\n']",True
37,adeo,"['to approach', 'visit', 'come to', 'undertake\n']",True
38,adeptio,"['attainment', 'obtaining\n']",False
39,adepto,"['to obtain', 'get', 'acquire\n']",True
40,adfectus affectus(fr. adficio),"['influenced', 'worked upon\n']",False
41,adfero affero,"['to cause', 'bring about', 'contribute\n']",True
42,adfero affero,"['to bring news', 'report / apply', 'bring to bear\n']",True
43,adficio,"['to affect', 'afflict', 'weaken', 'sap', 'exhaust', 'drain\n']",True
44,adflicto affligo,"['to injure', 'weaken', 'discourage', 'damage', 'break\n']",True
45,adhaero,"['to hang to', 'stick to', 'adhere\n']",True
46,adhuc,"['till then', 'till now', 'still', 'even now', 'besides', 'also', 'yet\n']",False
47,adicio,"['to direct', 'address', 'apply / to throw to\n']",True
